IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
8.222.192.179,4,4,0.00,69.45,0.00
54.169.75.77,4,4,0.00,69.52,0.00
13.250.40.109,4,4,0.00,69.73,0.00
8.222.156.205,4,4,0.00,69.78,0.00
172.104.44.188,4,4,0.00,70.12,0.00
18.155.68.115,4,4,0.00,70.37,0.00
52.220.141.225,4,4,0.00,70.44,0.00
13.212.92.48,4,4,0.00,70.59,0.00
52.84.251.13,4,4,0.00,70.70,0.00
52.220.210.29,4,4,0.00,70.81,0.00
3.1.187.212,4,4,0.00,70.83,0.00
13.251.248.27,4,4,0.00,70.84,0.00
13.227.254.92,4,4,0.00,71.04,0.00
13.213.117.37,4,4,0.00,71.22,0.00
47.128.235.190,4,4,0.00,71.26,0.00
54.251.140.254,4,4,0.00,71.42,0.00
20.205.175.23,4,4,0.00,71.44,0.00
13.250.247.202,4,4,0.00,71.51,0.00
13.215.177.45,4,4,0.00,71.57,0.00
52.84.229.18,4,4,0.00,71.62,0.00
13.250.247.202,4,4,0.00,71.63,0.00
52.74.119.210,4,4,0.00,71.64,0.00
13.250.229.153,4,4,0.00,71.66,0.00
18.139.226.228,4,4,0.00,71.66,0.00
149.127.143.244,4,4,0.00,71.89,0.00
139.162.40.58,4,4,0.00,71.98,0.00
13.212.163.72,4,4,0.00,72.00,0.00
13.33.45.92,4,4,0.00,72.24,0.00
3.1.187.212,4,4,0.00,72.39,0.00
18.155.68.104,4,4,0.00,72.44,0.00
52.220.107.161,4,4,0.00,72.56,0.00
18.142.146.171,4,4,0.00,72.66,0.00
54.179.232.104,4,4,0.00,72.99,0.00
13.35.18.91,4,4,0.00,73.38,0.00
4.194.182.186,4,4,0.00,73.57,0.00
13.33.33.20,4,4,0.00,73.78,0.00
54.254.151.122,4,4,0.00,73.83,0.00
4.193.108.171,4,4,0.00,73.90,0.00
54.151.180.58,4,4,0.00,73.91,0.00
54.169.203.140,4,4,0.00,74.06,0.00
13.213.251.57,4,4,0.00,74.16,0.00
18.136.106.181,4,4,0.00,74.21,0.00
13.33.100.211,4,4,0.00,74.22,0.00
13.35.18.70,4,4,0.00,74.41,0.00
149.127.139.237,4,4,0.00,74.43,0.00
13.229.202.188,4,4,0.00,74.68,0.00
122.11.185.19,4,4,0.00,74.75,0.00
52.221.180.150,4,4,0.00,74.79,0.00
3.1.78.195,4,4,0.00,74.79,0.00
54.179.99.175,4,4,0.00,74.82,0.00
3.1.148.34,4,4,0.00,74.93,0.00
54.169.145.10,4,4,0.00,75.19,0.00
18.140.69.66,4,4,0.00,75.21,0.00
8.222.212.255,4,4,0.00,75.28,0.00
13.213.0.53,4,4,0.00,75.34,0.00
18.140.143.15,4,4,0.00,75.38,0.00
149.127.140.237,4,4,0.00,75.43,0.00
52.77.94.53,4,4,0.00,75.48,0.00
149.127.142.238,4,4,0.00,75.49,0.00
18.138.254.19,4,4,0.00,75.52,0.00
52.221.240.19,4,4,0.00,75.54,0.00
149.127.141.243,4,4,0.00,75.63,0.00
18.138.194.201,4,4,0.00,75.64,0.00
13.212.6.250,4,4,0.00,75.71,0.00
149.127.141.237,4,4,0.00,75.72,0.00
2600:1413:1:284::478,4,4,0.00,75.81,0.00
52.76.64.37,4,4,0.00,75.90,0.00
54.169.152.223,4,4,0.00,75.91,0.00
13.212.6.250,4,4,0.00,75.94,0.00
54.169.180.201,4,4,0.00,76.02,0.00
52.77.255.68,4,4,0.00,76.05,0.00
52.77.94.53,4,4,0.00,76.27,0.00
13.33.33.16,4,4,0.00,76.29,0.00
52.221.189.27,4,4,0.00,76.47,0.00
13.251.110.225,4,4,0.00,76.56,0.00
52.74.119.210,4,4,0.00,76.62,0.00
52.220.192.16,4,4,0.00,76.64,0.00
52.220.137.35,4,4,0.00,76.69,0.00
54.179.192.231,4,4,0.00,77.02,0.00
20.198.194.71,4,4,0.00,77.03,0.00
139.162.45.19,4,4,0.00,77.06,0.00
54.151.180.58,4,4,0.00,77.10,0.00
3.1.248.226,4,4,0.00,77.12,0.00
52.74.52.71,4,4,0.00,77.13,0.00
13.228.139.121,4,4,0.00,77.19,0.00
52.76.67.117,4,4,0.00,77.19,0.00
13.35.18.108,4,4,0.00,77.29,0.00
54.169.239.8,4,4,0.00,77.40,0.00
13.225.4.35,4,4,0.00,77.41,0.00
18.141.203.172,4,4,0.00,77.45,0.00
18.139.75.234,4,4,0.00,77.51,0.00
13.33.100.33,4,4,0.00,77.70,0.00
2600:1413:1:282::478,4,4,0.00,77.71,0.00
52.77.114.70,4,4,0.00,77.75,0.00
13.33.100.65,4,4,0.00,77.86,0.00
54.179.166.47,4,4,0.00,78.04,0.00
52.84.225.10,4,4,0.00,78.04,0.00
172.104.175.60,4,4,0.00,78.16,0.00
18.141.185.144,4,4,0.00,78.24,0.00
20.212.18.231,4,4,0.00,78.34,0.00
213.35.107.210,4,4,0.00,78.38,0.00
103.180.193.56,4,4,0.00,78.41,0.00
13.251.248.27,4,4,0.00,78.59,0.00
3.1.211.67,4,4,0.00,78.59,0.00
172.104.62.184,4,4,0.00,78.63,0.00
13.35.18.85,4,4,0.00,78.80,0.00
3.1.54.1,4,4,0.00,78.96,0.00
13.229.50.248,4,4,0.00,79.02,0.00
54.251.117.144,4,4,0.00,79.04,0.00
13.212.174.119,4,4,0.00,79.25,0.00
52.74.14.72,4,4,0.00,79.29,0.00
13.215.153.200,4,4,0.00,79.38,0.00
34.87.149.251,4,4,0.00,79.41,0.00
52.220.137.35,4,4,0.00,79.46,0.00
13.35.13.46,4,4,0.00,79.70,0.00
139.162.32.121,4,4,0.00,79.99,0.00
13.212.174.119,4,4,0.00,79.99,0.00
175.41.182.167,4,4,0.00,80.05,0.00
54.254.215.19,4,4,0.00,80.09,0.00
139.162.22.120,4,4,0.00,80.15,0.00
3.1.54.1,4,4,0.00,80.18,0.00
13.35.13.46,4,4,0.00,80.26,0.00
54.255.217.24,4,4,0.00,80.31,0.00
13.227.230.157,4,4,0.00,80.46,0.00
13.35.18.91,4,4,0.00,80.63,0.00
18.139.117.61,4,4,0.00,80.79,0.00
54.254.46.164,4,4,0.00,81.18,0.00
8.222.130.58,4,4,0.00,81.43,0.00
20.24.143.80,4,4,0.00,81.59,0.00
172.104.44.81,4,4,0.00,81.87,0.00
52.74.14.72,4,4,0.00,81.98,0.00
54.254.37.160,4,4,0.00,82.22,0.00
172.104.43.146,4,4,0.00,82.23,0.00
54.255.195.46,4,4,0.00,82.24,0.00
54.254.63.54,4,4,0.00,82.56,0.00
54.255.208.239,4,4,0.00,82.56,0.00
8.219.71.178,4,4,0.00,82.70,0.00
4.193.148.154,4,4,0.00,82.94,0.00
13.250.167.200,4,4,0.00,83.29,0.00
54.251.183.218,4,4,0.00,83.32,0.00
54.254.91.110,4,4,0.00,83.91,0.00
8.222.186.77,4,4,0.00,84.03,0.00
52.187.2.82,4,4,0.00,84.31,0.00
52.230.8.168,4,4,0.00,84.40,0.00
52.230.8.168,4,4,0.00,84.50,0.00
8.222.199.55,4,4,0.00,84.52,0.00
4.193.108.171,4,4,0.00,84.98,0.00
8.222.186.77,4,4,0.00,85.56,0.00
152.69.217.160,4,4,0.00,85.65,0.00
52.187.2.82,4,4,0.00,85.69,0.00
194.36.179.240,4,4,0.00,85.93,0.00
168.138.182.212,4,4,0.00,85.94,0.00
184.168.127.130,4,4,0.00,86.51,0.00
45.146.6.57,4,4,0.00,86.66,0.00
13.35.18.70,4,4,0.00,86.94,0.00
8.222.225.193,4,4,0.00,87.09,0.00
154.85.54.165,4,4,0.00,87.44,0.00
8.219.89.30,4,4,0.00,87.51,0.00
154.85.56.165,4,4,0.00,87.82,0.00
52.221.212.81,4,4,0.00,88.28,0.00
146.235.18.35,4,4,0.00,88.56,0.00
8.222.192.179,4,4,0.00,88.77,0.00
94.74.94.90,4,4,0.00,89.55,0.00
148.72.245.135,4,4,0.00,91.20,0.00
2600:1413:1::1730:a940,4,4,0.00,91.62,0.00
148.72.245.135,4,4,0.00,92.70,0.00
159.138.89.106,4,4,0.00,93.26,0.00
2600:1413:1::1730:a941,4,4,0.00,93.83,0.00
8.222.130.58,4,4,0.00,93.91,0.00
158.178.244.30,4,4,0.00,94.73,0.00
47.236.225.136,4,4,0.00,96.05,0.00
47.236.118.107,4,4,0.00,98.35,0.00
94.74.94.90,4,4,0.00,98.59,0.00
47.236.114.185,4,4,0.00,98.72,0.00
158.178.242.56,4,4,0.00,99.66,0.00
47.236.56.245,4,4,0.00,100.64,0.00
104.248.147.234,4,4,0.00,101.16,0.00
47.236.105.181,4,4,0.00,101.68,0.00
47.236.87.210,4,4,0.00,101.73,0.00
157.245.158.232,4,4,0.00,101.76,0.00
43.245.198.207,4,4,0.00,102.25,0.00
47.236.30.65,4,4,0.00,102.87,0.00
168.138.172.244,4,4,0.00,102.96,0.00
128.199.116.49,4,4,0.00,104.19,0.00
159.138.89.106,4,4,0.00,104.74,0.00
47.236.65.23,4,4,0.00,105.10,0.00
146.235.16.191,4,4,0.00,105.58,0.00
213.35.97.105,4,4,0.00,106.21,0.00
128.199.94.43,4,4,0.00,106.50,0.00
35.198.245.125,4,4,0.00,107.34,0.00
149.127.137.237,4,4,0.00,108.62,0.00
47.236.225.136,4,4,0.00,109.38,0.00
128.199.225.181,4,4,0.00,109.79,0.00
47.236.21.211,4,4,0.00,109.88,0.00
47.236.86.26,4,4,0.00,110.06,0.00
47.236.65.23,4,4,0.00,110.28,0.00
139.162.40.58,4,4,0.00,110.80,0.00
138.2.85.111,4,4,0.00,111.12,0.00
139.162.31.133,4,4,0.00,112.90,0.00
139.59.124.22,4,4,0.00,113.05,0.00
