IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
128.199.213.153,4,2,0.50,199.17,0.00
146.190.98.55,4,2,0.50,199.67,0.00
159.65.142.95,4,2,0.50,199.85,0.00
128.199.225.181,4,2,0.50,213.43,0.00
194.233.82.225,4,2,0.50,223.96,0.00
43.228.147.183,4,4,0.00,26.50,0.00
138.2.90.145,4,2,0.50,236.57,0.00
154.26.134.100,4,2,0.50,250.98,0.00
207.148.73.156,4,2,0.50,257.60,0.00
34.124.218.10,4,2,0.50,258.95,0.00
128.199.213.153,4,2,0.50,265.09,0.00
128.199.213.153,4,2,0.50,277.45,0.00
159.65.3.228,4,2,0.50,279.04,0.00
128.199.97.107,4,2,0.50,279.24,0.00
45.76.150.118,4,2,0.50,287.95,0.00
139.180.211.64,4,2,0.50,324.93,0.00
139.180.208.238,4,2,0.50,378.70,0.00
207.148.124.234,4,2,0.50,379.06,0.00
139.180.189.237,4,2,0.50,388.37,0.00
43.175.225.7,4,1,0.75,24.96,0.00
13.33.33.118,4,1,0.75,46.72,0.00
138.2.75.91,4,1,0.75,51.51,0.00
13.33.33.128,4,1,0.75,51.95,0.00
54.169.145.10,4,1,0.75,52.29,0.00
13.212.9.152,4,1,0.75,53.00,0.00
18.155.68.125,4,1,0.75,53.36,0.00
192.46.230.252,4,1,0.75,53.75,0.00
23.106.126.205,4,1,0.75,54.73,0.00
172.105.122.112,4,1,0.75,58.11,0.00
138.2.85.111,4,1,0.75,61.17,0.00
47.236.100.248,4,1,0.75,97.69,0.00
47.236.14.188,4,1,0.75,98.06,0.00
128.199.131.210,4,1,0.75,99.98,0.00
167.172.73.79,4,1,0.75,100.34,0.00
139.59.112.155,4,1,0.75,103.73,0.00
139.59.124.22,4,1,0.75,104.21,0.00
139.59.108.79,4,1,0.75,104.26,0.00
128.199.72.194,4,1,0.75,107.11,0.00
167.172.95.158,4,1,0.75,113.27,0.00
103.172.111.250,4,1,0.75,158.26,0.00
203.29.55.238,4,1,0.75,159.10,0.00
203.29.55.238,4,1,0.75,159.14,0.00
103.172.110.104,4,1,0.75,160.75,0.00
203.29.55.238,4,1,0.75,160.91,0.00
103.172.111.50,4,1,0.75,164.62,0.00
203.29.55.238,4,1,0.75,176.96,0.00
203.29.55.238,4,1,0.75,176.99,0.00
203.29.55.238,4,1,0.75,177.56,0.00
203.29.55.238,4,1,0.75,177.60,0.00
203.29.55.238,4,1,0.75,177.71,0.00
103.172.111.50,4,1,0.75,177.92,0.00
103.172.110.104,4,1,0.75,179.52,0.00
43.228.147.183,4,4,0.00,23.50,0.00
103.172.111.250,4,1,0.75,180.11,0.00
118.215.11.108,4,4,0.00,23.45,0.00
118.215.10.242,4,4,0.00,23.03,0.00
118.215.11.59,4,4,0.00,22.56,0.00
45.32.104.242,4,1,0.75,197.38,0.00
129.150.62.92,4,1,0.75,234.33,0.00
168.138.177.109,4,1,0.75,252.30,0.00
206.189.36.220,4,1,0.75,263.77,0.00
139.59.120.38,4,1,0.75,270.77,0.00
139.180.216.225,4,1,0.75,274.14,0.00
159.223.61.201,4,1,0.75,277.51,0.00
128.199.97.107,4,1,0.75,281.56,0.00
178.128.212.221,4,1,0.75,282.99,0.00
128.199.225.181,4,1,0.75,287.09,0.00
128.199.74.194,4,1,0.75,288.56,0.00
128.199.115.237,4,1,0.75,289.64,0.00
178.128.98.145,4,1,0.75,291.70,0.00
43.156.9.186,4,1,0.75,294.69,0.00
150.109.9.197,4,1,0.75,298.15,0.00
146.190.88.229,4,1,0.75,308.59,0.00
150.109.9.197,4,1,0.75,308.94,0.00
45.76.189.70,4,1,0.75,357.57,0.00
66.42.49.86,4,1,0.75,378.63,0.00
139.180.216.225,4,1,0.75,386.29,0.00
139.180.184.8,4,1,0.75,388.19,0.00
139.180.158.175,4,1,0.75,388.76,0.00
139.180.142.104,4,1,0.75,391.33,0.00
139.180.216.225,4,1,0.75,400.25,0.00
